seqnames_dar,start_dar,end_dar,width_dar,strand_dar,cell_type_dar,logFC_dar,distance,seqnames_degs,start_deg,end_deg,width_deg,strand_deg,cell_type_deg,gene_name,gene_biotype,DAR_deg_overlap,log2FC_deg
chr1,205849946,205850446,501,*,B_Cells,-0.566401167,136627,chr1,205710819,205713318,2500,*,B_naive,NUCKS1,protein_coding,FALSE,-0.133229814
chr1,120850613,120851113,501,*,B_Cells,0.460666375,126190,chr1,120721923,120724422,2500,*,CD14_Mono,NBPF26,protein_coding,FALSE,0.150064671
chr8,142325812,142326312,501,*,B_Cells,-0.52648708,421837,chr8,142748150,142750649,2500,*,CD16_Mono,LYPD2,protein_coding,FALSE,-0.512733183
chr1,120913959,120914459,501,*,B_Cells,0.698775653,189536,chr1,120721923,120724422,2500,*,CD14_Mono,NBPF26,protein_coding,FALSE,0.150064671
chr6,154306624,154307124,501,*,B_Cells,-0.720756984,2184440,chr6,152119684,152122183,2500,*,CD4_CTL,SYNE1,protein_coding,FALSE,-0.198519472
chr2,69731454,69731954,501,*,B_Cells,-0.504530788,86529,chr2,69642425,69644924,2500,*,B_naive,ANXA4,protein_coding,FALSE,-0.150530139
chr2,240832189,240832689,501,*,B_Cells,0.389003275,146825,chr2,240979515,240982014,2500,*,CD16_Mono,AC104809.2,antisense,FALSE,0.140499614
chrX,990062,990562,501,*,B_Cells,0.49586488,393589,chrX,1384152,1386651,2500,*,CD4_CTL,SLC25A6,protein_coding,FALSE,0.149566636
chr9,37531662,37532162,501,*,B_Cells,-0.517932333,1340306,chr9,36188856,36191355,2500,*,CD14_Mono,CLTA,protein_coding,FALSE,-0.150095715
chr12,9283780,9284280,501,*,B_Cells,-0.656957373,308270,chr12,9592551,9595050,2500,*,CD4_CTL,KLRB1,protein_coding,FALSE,0.485575283
chr12,126772220,126772720,501,*,B_Cells,-0.470090293,1860116,chr12,124909604,124912103,2500,*,CD8_TCM,UBC,protein_coding,FALSE,-0.132863937
chr1,120723511,120724011,501,*,B_Cells,0.6899688,0,chr1,120721923,120724422,2500,*,CD16_Mono,NBPF26,protein_coding,FALSE,0.183508212
chr6,26240010,26240510,501,*,B_Cells,-0.389698246,5242,chr6,26232268,26234767,2500,*,CD8_TEM,HIST1H1D,protein_coding,FALSE,0.176465215
chr1,26378344,26378844,501,*,B_Cells,-0.488137862,16210,chr1,26359634,26362133,2500,*,CD4_CTL,ZNF683,protein_coding,FALSE,-0.349584528
