seqnames_dar,start_dar,end_dar,width_dar,strand_dar,cell_type_dar,logFC_dar,distance,seqnames_degs,start_deg,end_deg,width_deg,strand_deg,cell_type_deg,gene_name,gene_biotype,DAR_deg_overlap,log2FC_deg
chr8,8228272,8228772,501,*,CD4+_T_Cells,-0.408774211,552581,chr8,8781354,8783853,2500,*,CD4+_T_Cells,MFHAS1,protein_coding,FALSE,0.028937645
chrX,1661408,1661908,501,*,CD4+_T_Cells,-0.266087828,69315,chrX,1589593,1592092,2500,*,CD4+_T_Cells,AKAP17A,protein_coding,FALSE,-0.020292063
chr8,8227761,8228261,501,*,CD4+_T_Cells,-0.404568256,553092,chr8,8781354,8783853,2500,*,CD4+_T_Cells,MFHAS1,protein_coding,FALSE,0.028937645
chr1,205849946,205850446,501,*,CD4+_T_Cells,-0.51581761,81460,chr1,205765986,205768485,2500,*,CD4+_T_Cells,RAB29,protein_coding,FALSE,0.005879734
chr1,1745546,1746046,501,*,CD4+_T_Cells,0.822523,37238,chr1,1783285,1785784,2500,*,CD4+_T_Cells,GNB1,protein_coding,FALSE,0.084235126
chr1,120850613,120851113,501,*,CD4+_T_Cells,0.335381341,60161,chr1,120911275,120913774,2500,*,CD4+_T_Cells,LINC00623,lincRNA,FALSE,0.070057558
chr6,29708728,29709228,501,*,CD4+_T_Cells,0.254543573,347670,chr6,30056899,30059398,2500,*,CD4+_T_Cells,ZNRD1,protein_coding,FALSE,0.077739723
chr12,131682096,131682596,501,*,CD4+_T_Cells,-0.492633217,26484,chr12,131709081,131711580,2500,*,CD4+_T_Cells,SFSWAP,protein_coding,FALSE,0.009826668
chr1,1746153,1746653,501,*,CD4+_T_Cells,0.384812492,36631,chr1,1783285,1785784,2500,*,CD4+_T_Cells,GNB1,protein_coding,FALSE,0.084235126
chr1,120723511,120724011,501,*,CD4+_T_Cells,0.475508183,0,chr1,120721923,120724422,2500,*,CD4+_T_Cells,NBPF26,protein_coding,FALSE,-0.038258584
chr1,120913959,120914459,501,*,CD4+_T_Cells,0.506707799,184,chr1,120911275,120913774,2500,*,CD4+_T_Cells,LINC00623,lincRNA,FALSE,0.052459042
chr11,61827761,61828261,501,*,CD4+_T_Cells,0.588616117,58760,chr11,61766501,61769000,2500,*,CD4+_T_Cells,TMEM258,protein_coding,FALSE,0.100192613
chr17,43360891,43361391,501,*,CD4+_T_Cells,-0.155556014,189910,chr17,43168481,43170980,2500,*,CD4+_T_Cells,NBR1,protein_coding,FALSE,-0.004024438
chr1,1891478,1891978,501,*,CD4+_T_Cells,0.442297508,105693,chr1,1783285,1785784,2500,*,CD4+_T_Cells,GNB1,protein_coding,FALSE,0.083736419
chr10,72331896,72332396,501,*,CD4+_T_Cells,0.274813491,57476,chr10,72271920,72274419,2500,*,CD4+_T_Cells,DDIT4,protein_coding,FALSE,-0.006331868
chr16,50335107,50335607,501,*,CD4+_T_Cells,-0.383481706,21120,chr16,50311487,50313986,2500,*,CD4+_T_Cells,BRD7,protein_coding,FALSE,-0.010428462
chr1,146387361,146387861,501,*,CD4+_T_Cells,-0.255960109,394426,chr1,145990435,145992934,2500,*,CD4+_T_Cells,TXNIP,protein_coding,FALSE,0.222761056
chrX,990062,990562,501,*,CD4+_T_Cells,0.283481076,393589,chrX,1384152,1386651,2500,*,CD4+_T_Cells,SLC25A6,protein_coding,FALSE,0.001950626
chr8,13133155,13133655,501,*,CD4+_T_Cells,0.411965236,1290131,chr8,11840524,11843023,2500,*,CD4+_T_Cells,CTSB,protein_coding,FALSE,-0.006187188
chr22,46739016,46739516,501,*,CD4+_T_Cells,0.357588879,21100,chr22,46760617,46763116,2500,*,CD4+_T_Cells,TBC1D22A,protein_coding,FALSE,-0.010899083
chrX,1471707,1472207,501,*,CD4+_T_Cells,-0.267541048,8635,chrX,1460572,1463071,2500,*,CD4+_T_Cells,P2RY8,protein_coding,FALSE,-0.326691655
chr5,179559451,179559951,501,*,CD4+_T_Cells,0.220880278,52226,chr5,179612178,179614677,2500,*,CD4+_T_Cells,HNRNPH1,protein_coding,FALSE,-0.079225383
chr16,50338858,50339358,501,*,CD4+_T_Cells,-0.280477722,24871,chr16,50311487,50313986,2500,*,CD4+_T_Cells,BRD7,protein_coding,FALSE,-0.010428462
chr14,38065041,38065541,501,*,CD4+_T_Cells,0.242389131,1107641,chr14,39173183,39175682,2500,*,CD4+_T_Cells,PNN,protein_coding,FALSE,-0.036865636
chr15,65300372,65300872,501,*,CD4+_T_Cells,-0.363576029,139590,chr15,65440463,65442962,2500,*,CD4+_T_Cells,DPP8,protein_coding,FALSE,-0.015144808
chr17,49739571,49740071,501,*,CD4+_T_Cells,0.159104265,28739,chr17,49708332,49710831,2500,*,CD4+_T_Cells,FAM117A,protein_coding,FALSE,-0.027939184
chr22,45413459,45413959,501,*,CD4+_T_Cells,0.350873365,103991,chr22,45306968,45309467,2500,*,CD4+_T_Cells,FAM118A,protein_coding,FALSE,-0.022081679
chr6,96499745,96500245,501,*,CD4+_T_Cells,0.30542431,19349,chr6,96519595,96522094,2500,*,CD4+_T_Cells,UFL1,protein_coding,FALSE,-0.077800673
chr10,58384023,58384523,501,*,CD4+_T_Cells,0.385800297,0,chr10,58383022,58385521,2500,*,CD4+_T_Cells,TFAM,protein_coding,FALSE,0.039094112
chr6,42045660,42046160,501,*,CD4+_T_Cells,0.220051188,110227,chr6,41932933,41935432,2500,*,CD4+_T_Cells,CCND3,protein_coding,FALSE,0.032215667
chr4,186204175,186204675,501,*,CD4+_T_Cells,-0.434599153,12155,chr4,186189520,186192019,2500,*,CD4+_T_Cells,CYP4V2,protein_coding,FALSE,0.048737087
chr10,70145267,70145767,501,*,CD4+_T_Cells,-0.35407827,0,chr10,70145289,70147788,2500,*,CD4+_T_Cells,SAR1A,protein_coding,FALSE,0.039906952
chr14,38078290,38078790,501,*,CD4+_T_Cells,0.318554998,1094392,chr14,39173183,39175682,2500,*,CD4+_T_Cells,PNN,protein_coding,FALSE,-0.036865636
chr15,91469871,91470371,501,*,CD4+_T_Cells,0.280643311,381323,chr15,91851695,91854194,2500,*,CD4+_T_Cells,SLCO3A1,protein_coding,FALSE,-5.01378e-4
chr1,1692555,1693055,501,*,CD4+_T_Cells,-0.204378436,7674,chr1,1700730,1703229,2500,*,CD4+_T_Cells,CDK11A,protein_coding,FALSE,-0.077754583
chr1,1693167,1693667,501,*,CD4+_T_Cells,-0.356555843,7062,chr1,1700730,1703229,2500,*,CD4+_T_Cells,CDK11A,protein_coding,FALSE,-0.077754583
